centre_name,latitude,longitude
"Athlone, Co. Westmeath",53.4228434,-7.9425897
"Ballina, Co. Mayo",54.1143359,-9.1532099
"Birr, Co. Offaly",53.0961172,-7.9109221
"Birr (County Arms Hotel), Co. Offaly",53.0906451, -7.9060312
"Buncrana, Co. Donegal",55.1353624,-7.453109
"Carlow, Co. Carlow",52.8408344,-6.9261131
"Carlow Talbot Hotel, Co. Carlow",52.8462114,-6.9437615
"Carrick On Shannon, Co. Leitrim",53.9441461,-8.0952772
"Castlebar, Co. Mayo",53.8568418,-9.297967
"Cavan, Co. Cavan",53.9910015,-7.3634062
"Charlestown (Dublin), Co. Dublin",53.4020442,-6.309591
"Clifden, Co. Galway",53.4884916,-10.0210673
"Clonmel, Co. Tipperary",52.3611052,-7.6991779
"Cork (Ballincollig), Co. Cork",51.888185,-8.5879505
"Cork (St. Finbarr's GAA Club Togher), Co. Cork",51.87787, -8.497347
"Cork (Wilton), Co. Cork",51.8727969,-8.5079194
"Donegal, Co. Donegal",54.6537924,-8.1102616
"Drogheda, Co. Louth",53.7149877,-6.3524183
"Dun Laoghaire / Deansgrange, Co. Dublin",53.2779445,-6.1641024
"Dundalk, Co. Louth",54.0046033,-6.4008879
"Dungarvan, Co. Waterford",52.0897488,-7.6210306
"Ennis, Co. Clare",52.8435152,-8.983747
"Finglas, Co. Dublin",53.389167,-6.296944
"Galway (Carnmore), Co. Galway",53.3030147,-8.9283496
"Galway (Westside), Co. Galway",53.2762652,-9.0759623
"Gorey, Co. Wexford",52.6712171,-6.2920098
"Kilkenny (Govt Buildings), Co. Kilkenny",52.65634, -7.244355
"Kilkenny (O'Loughlin Gaels), Co. Kilkenny", 52.65961, -7.23651
"Killarney, Co. Kerry",52.0595746,-9.505322
"Killester, Co. Dublin",53.3728003,-6.2049157
"Kilrush, Co. Clare",52.6397222,-9.4833283
"Letterkenny, Co. Donegal",54.9517941,-7.7354368
"Limerick - Castlemungret, Co. Limerick",52.6423565, -8.6747409
"Limerick - Woodview, Co. Limerick", 52.6757014, -8.6521805
"Limerick (Roxboro), Co. Limerick",52.6559587,-8.6171444
"Longford, Co. Longford",53.7298787,-7.7885399
"Loughrea, Co. Galway",53.1981624,-8.5690594
"Loughrea (Lough Rea Hotel & Spa), Co. Galway",53.2023561, -8.5867982
"Mallow, Co. Cork",52.138912,-8.6551101
"Mallow (Cork Racecourse Mallow), Co. Cork", 52.1315043, -8.6860090
"Monaghan, Co. Monaghan",54.2485576,-6.9688855
"Mulhuddart, Co. Dublin",53.4027828,-6.398205
"Mulhuddart (Carlton Hotel), Co. Dublin",53.40620, -6.41003
"Mulhuddart Maple House, Co. Dublin",53.40552, -6.35070
"Mullingar, Co. Westmeath",53.5229058,-7.345688
"Naas, Co. Kildare",53.2214677,-6.6574093
"Navan, Co. Meath",53.6530941,-6.6840434
"Nenagh, Co. Tipperary",52.861944,-8.196667
"Newcastle West, Co. Limerick",52.4488928,-9.0529331
"Newcastle West (Longcourt House Hotel), Co. Limerick",52.44883, -9.05201
"Portlaoise, Co. Laois",53.0340093,-7.3000591
"Portlaoise (Maldron Hotel), Co. Laois",53.0140312,-7.2999651
"Raheny, Co. Dublin",53.3801975,-6.1751462
"Roscommon, Co. Roscommon",53.6312446,-8.19068
"Shannon, Co. Clare",52.7104544,-8.8788366
"Skibbereen, Co. Cork",51.5478232,-9.2662109
"Sligo, Co. Sligo",54.2720696,-8.4751357
"Tallaght, Co. Dublin",53.2878082,-6.362355
"Thurles, Co. Tipperary",52.6766937,-7.8219058
"Tipperary, Co. Tipperary",52.4734839,-8.1614446
"Tralee, Co. Kerry",52.2692116,-9.7057047
"Tralee (HGV's), Co. Kerry",52.28418, -9.62585
"Tuam, Co. Galway",53.5148196,-8.8488745
"Tullamore, Co. Offaly",53.2743768,-7.4927486
"Waterford, Co. Waterford",52.2609997,-7.1119081
"Wexford, Co. Wexford",52.3367671,-6.4601397
"Wicklow, Co. Wicklow",52.9802376,-6.0414184
"Galway (Clybaun Hotel), Co. Galway",53.26958, -9.10794
"Sandyford, Co. Dublin",53.2698337,-6.2245713
"Southgate, Co. Louth",NA,NA
"Mitchelstown, Co. Cork",52.2595145,-8.2378442
